id,x,y,Color
1,0,0,1
2,1,0,0
3,2,0,0
4,3,0,0
5,4,0,0
6,5,0,1
7,0.5,0.8660254037844386,0
8,1.5,0.8660254037844386,1
9,2.5,0.8660254037844386,1
10,3.5,0.8660254037844386,1
11,4.5,0.8660254037844386,0
12,1.0,1.7320508075688772,0
13,2.0,1.7320508075688772,1
14,3.0,1.7320508075688772,1
15,4.0,1.7320508075688772,0
16,1.5,2.598076211353316,0
17,2.5,2.598076211353316,1
18,3.5,2.598076211353316,0
19,2.0,3.4641016151377544,0
20,3.0,3.4641016151377544,0
21,2.5,4.330127018922193,1
